uri,type,title,description,spatial
https://id.erfgoed.net/erfgoedobjecten/58804,Erfgoedobject,Notariswoning uit 1929,"     Albertlaan nr. 65/ Helmweg. Statig art-decogetint herenhuis,  opgetrokken in villastijl in 1929 als notariswoning voor J. Stroobandt  (Brugge), later schepen en gemeenteraadslid van Knokke. In 1958 verbouwd  naar ontwerp van architect P. Decuypere (Knokke); het aanpalend zuidelijk  deel ingericht als ruime tuin en afgesloten met hoge baksteenmuur. Erna  verworven door v.z.w. ""Familiezorg Wes",Albertlaan 65 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58805,Erfgoedobject,Villa Stella Maris," Albertlaan nr. 66/ Fernand Severinpad. Villa z.g. ""Stella Maris"" in cottagestijl naar verluidt van 1922 naar ontwerp van architect F. Vervalcke (Knokke). Eerder strakke bepleisterde gevelvelden, kleine erker in nok.  Gevelbreed houten terras onder lessenaardak. Bakstenen tuinmuur met buisleuning.",Albertlaan 66 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58799,Erfgoedobject,Villa naar ontwerp van E. Pelseneer," Albertlaan z.nr. ""Internaat van de gemeenschapsschool Zwinstede-Sincfal"", ook gekend als ""Villa Altena"". Oorspronkelijk opgetrokken als grote villa in 1929-1930 naar ontwerp van architect E. Pelseneer (Ukkel) i.o.v. eigenaar Graaf Camille L.J. de Borchgrave d'Altena. De Belgische staat koopt het gebouw in 1966 bij onteigening en in 1977 krijgt de villa een nieuwe functie als meisjesinternaat van",Albertlaan 67 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58806,Erfgoedobject,Villa Manoir du Dragon,"     Albertlaan nr. 73. Z.g. ""Manoir du Dragon"". Grote gekoppelde villa  -thans hotel- in cottagestijl van 1927 naar ontwerp van architect O.  Flanneau, uitgebreid in 1987 en 1992 naar ontwerp van architect P.  Desmidt. Witgeschilderde baksteenbouw op zwarte plint met volhouten  gevelvelden. Opvallend verspringend dakprofiel. Enorm rijke  aanplanting.  ARCHIEF COMPAGNIE HET ZOUTE KNOKKE-HEIST, Do",Albertlaan 73 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58807,Erfgoedobject,Villa Sunflower," Albertlaan nr. 75. Villa z.g. ""Sunflower"" in cottage- en landelijke of z.g. ""Vlaamse"" stijl van 1912 naar ontwerp van architect A. Pirenne (Brussel), uitgebreid in 1930 en 1948 naar ontwerp van architect J. L. Desmettre.  Witgeschilderde baksteenbouw met pittoreske volumewerking door twee karakteriserende tuitgevels. Rijke aanplanting, enkel de garage opent woning naar straatzijde. ARCHIEF COMPA",Albertlaan 75 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58808,Erfgoedobject,Villa La Nina,"     Albertlaan nr. 79/ Fernand Severinpad. Villa z.g. ""La Nina"" in  art-decogetinte cottagestijl. Witgeschilderde en deels bepleisterde  baksteenbouw op zwarte plint. Tuitgevels wellicht latere uitbreidingen van  L-vormig basisvolume; uitbreiding aan inkom. Hoge schouw. Zijde aan het  Fernand Severinpad gekenmerkt door opeenvolgende balkons met stenen  balustrade. IJzeren hek aan inkom.   ",Albertlaan 79 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58809,Erfgoedobject,Villa Sint Yves," Albertlaan nr. 81. Villa z.g. ""St. Yves"" in cottage- en art-decostijl van 1928 naar ontwerp van architect F. Vervalcke. Witgeschilderde baksteenbouw op lage zwarte plint. Vooruitspringend gevelveld met vakwerk waarvan houten balk op twee getrapte consoles. Art-decogetinte inkompartij, glasraam en hekjes.  ARCHIEF COMPAGNIE HET ZOUTE KNOKKE-HEIST, Dossier 475.",Albertlaan 81 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58996,Erfgoedobject,Appartementsgebouw en hotel Carlton Residence," Zeedijk-Het Zoute nr. 749-752/ Albertplein 13-15. ""Carlton Residence"" is een beeldbepalend complex met winkels, appartementen en een hotel in Normandische stijl op de hoek van de Zeedijk en het Albertplein. Het huidige complex is het resultaat van enkele uitbreidingen en verbouwingen die plaatsvonden van kort na de bouw tot in de jaren 1960. Het oorspronkelijke ""Carlton Hotel"" wordt ca. 1925-192","Albertplein 13-14, 15 (Knokke-Heist)"
https://id.erfgoed.net/erfgoedobjecten/58810,Erfgoedobject,Hotel Memlinc,"Zogenaamd ""Memlinc Hotel"" of ""Memling Palace"", beeldbepalend hotel in cottagestijl, in 1923 opgetrokken als zuidelijke gevelwand naar ontwerp (1922) van architect Jozef Viérin (Kortrijk, 1872-Brugge 1949) en uitgevoerd onder aannemer F. Desmidt. Beschermd als monument bij ministerieel besluit van 15/12/2003.",Albertplein 21-27 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58625,Erfgoedobject,Stadhuis van Knokke," Alfred Verweeplein nr. 1. Stadhuis van Knokke, gebouwd in 1911-1913 n.o.v. architect J. Wassenhove (Knokke) en uitgevoerd door aannemer K. Saelens. Voordien was het gemeentehuis gevestigd in herberg ""De Zwaene"" (cf. M. Lippensplein) en in herberg ""Communal"" in de huidige S. Nachtegaelestraat. Neogotisch gebouw in rode baksteen van twee bouwlagen op een hoog entresol en tien traveeën waarvan asym",Alfred Verweeplein 1 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58628,Erfgoedobject,Café Oud-Knokke,"     Alfred Verweeplein nr. 12/ Piers de Raveschootlaan. Z.g. ""Café  Oud-Knokke"", hoekpand met caféfunctie gebouwd begin 20ste eeuw.  Gecementeerde lijstgevel met houten kroonlijst op modillons; bewaard  houtwerk, gietijzeren balkons vervangen op de eerste verdieping.   ",Alfred Verweeplein 12 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58629,Erfgoedobject,Winkels Oud Knokke," Alfred Verweeplein nrs. 13-14-15. Z.g. ""Oud Knokke"" (cf. gevelsteen centraal), handelspanden gebouwd in de jaren 1950 door aannemer Cyr. Degroote (Knokke) (gesigneerd in plint). Bewaard houtwerk en buisbalustrades.",Alfred Verweeplein 13-15 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58630,Erfgoedobject,Handelsgebouw The Butler,Interbellum  handelspand in modernistische vormgeving.,Alfred Verweeplein 24 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58631,Erfgoedobject,Klooster met internaat,"Schoolgebouw zogenaamd ""Koninklijk atheneum middenschool"", gebouwd in 1910 als klooster en meisjeskostschool door de Zusters Dominicanessen uit Langres (Frankrijk). Het oorspronkelijke gebouwencomplex wordt in 1936 uitgebreid met onder meer enkele schoolpaviljoenen in modernistische stijl naar ontwerp (1924) van de befaamde West-Vlaamse architect Huib Hoste (Brugge, 1881 - Hove, 1957). Deze uitbreiding is beschermd als monument bij ministerieel besluit van 15/10/2003.",Alfred Verweeplein 25 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58626,Erfgoedobject,Burgerhuis uit 1930,"    Alfred Verweeplein nr. 6. Art-decoburgerwoning met convex  uitgewerkte gevel en fraaie combinatie tussen baksteen en cementering.  Gebouwd in 1930 n.o.v. architect V. Buytaert (Knokke).  GEMEENTELIJK ARCHIEF KNOKKE-HEIST, Knokke Bouwaanvragen, 1930, nr.  1869.   ",Alfred Verweeplein 6 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58627,Erfgoedobject,Burgerhuizen in eclectische stijl," Alfred Verweeplein nrs. 8-9. Twee eclectische burgerhuizen met historiserende trapgevels in baksteen met natuursteen voor erkers, gevelstenen, banden, plinten en omlijstingen. Gebouwd in de jaren 1920, nr. 9 gedateerd ""1922"".",Alfred Verweeplein 8-9 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58624,Erfgoedobject,Borstbeeld van Alfred Verwee,"     Alfred Verweeplein z.nr. Borstbeeld van Alfred Verwee, onthuld op  21 september 1896 ten oosten van de Lippenslaan. Vervaardigd door  beeldhouwer L. Mignon (Luik, 1847-1898) in opdracht van de vrienden van  Verwee. Bronzen buste op arduinen sokkel.   ",Alfred Verweeplein zonder nummer (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58374,Erfgoedobject,Appartementsgebouw Albatros,"Anemonenlaan nr. 2/ Florapad nr. 2. Hedendaags appartementsgebouw ""Albatros"" n.o.v. architect J. Crepain. Eén van de weinige kwalitatieve nieuwbouwprojecten in Duinbergen.  SINT-LUKASARCHIEF BRUSSEL, Inventaris van het bouwkundig erfgoed in de villawijk Duinbergen te Knokke-Heist, deel I-IV, in opdracht van WITAB, mei-juni 1996.",Anemonenlaan 2 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58811,Erfgoedobject,Burgerhuis Les Oeillets," Antoine Bréartstraat nr. 12. Rijwoning type ""zeedijkvilla"" z.g. ""Les Oeillets"", uit het interbellum, in pui gesigneerd architect R. Neirynck (Heist); thans ingedeeld in appartementen. Deels beschilderde en gecementeerde baksteenbouw in cottagestijl cf. o.m. pseudo-vakwerk in geveltop van dakvenster.  Bovenverdieping met gevelbrede doorgetrokken erker op consoles. Art-decogetinte gevelornamentiek",Antoine Bréartstraat 12 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/108454,Erfgoedobject,Park 58,Park met onregelmatige vorm tussen de Elisabetlaan en de verkaveling ten zuiden van de Arcadelaan (in aansluiting bij Albertstrand).,"Arcadelaan, Elizabetlaan (Knokke-Heist)"
https://id.erfgoed.net/erfgoedobjecten/58375,Erfgoedobject,Watertoren," Arkadenlaan z.nr. Watertoren, 53 m hoog en opgetrokken in rode baksteen, met een arduinen sokkel in bossage. Het waterreservoir bovenaan de toren is voorzien van een vakwerkversiering en afgedekt met een tentdak. De oorspronkelijke metalen kuip wordt in 1973 vervangen door een betonnen constructie met grotere inhoud. Via een metalen binnentrap kan men naar het 1994. Er is een verbinding met het ",Arcadelaan zonder nummer (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58376,Erfgoedobject,Onze-Lieve-Vrouwekapel,"Kapel van 1863 zie gevelsteen in de geveltop, ook  ""kajotsterskapelletje"".",Arcadelaan zonder nummer (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58505,Erfgoedobject,Burgerhuizen in art nouveau," August Beernaertstraat nrs. 24/26 en 28/30. Samenstel van twee art-nouveaugetinte belle époquehuizen, gekenmerkt door hoge bel-etage bereikbaar via hoge arduinen trap naar deur, parement in witte geglazuurde baksteen, gevelbrede balkons met gietijzeren leuning op eerste verdieping, gedetailleerd, deels bewaard schrijnwerk. Bovenin de gevel tegeltableaus met florale art-nouveaumotieven.",August Beernaertstraat 22 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58506,Erfgoedobject,Burgerhuizen in cottagestijl," August Beernaertstraat nrs. 36-42/ Visserskapelstraat. Samenstel van vier interbellum burgerhuizen in cottagestijl, deel uitmakend van een groter geheel (cf. ook Visserskapelstraat). Z.g. ""Annick"" (nr. 36), z.g. ""Fleur"" (nr. 38), z.g. ""Elise"" (nr. 40).",August Beernaertstraat 36-42 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58379,Erfgoedobject,Villa Les Ajoncs,"Dubbelvilla zogenaamd ""Les Ajoncs"", opgetrokken in 1919 (volgens kadaster) in een fantasierijke combinatie van eclecticisme en cottagestijl. Beschermd als monument bij ministerieel besluit van 27/06/2003.","Bergdreef 11, Engelsestraat 12 (Knokke-Heist)"
https://id.erfgoed.net/erfgoedobjecten/58380,Erfgoedobject,Villa Les Pinsons en Les Sansonnets," Bergdreef nr. 19/ Bocheldreef. Dubbele villa met art-deco-inslag, z.g. ""Les Pinsons"" en ""Les Sansonnets"", gebouwd in het interbellum n.o.v. architect J.R. Van Hoenacker. Heel sterk gelijkend op villa n.o.v. dezelfde architect in de Engelsestraat nrs. 20-22.  SINT-LUKASARCHIEF BRUSSEL, Inventaris van het bouwkundig erfgoed in de villawijk Duinbergen te Knokke-Heist, deel I, in opdracht van WITAB,",Bergdreef 19 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58378,Erfgoedobject,Villa Nid Clair," Bergdreef nr. 7/ Engelsestraat. Villa z.g. ""Nid Clair"", gebouwd in het interbellum in cottagestijl n.o.v. architect L. Leemans. Oorspronkelijke verdeling tussen baksteen en bepleistering teniet gedaan door witschildering.  SINT-LUKASRACHIEF BRUSSEL Brussel, Inventaris van het bouwkundig erfgoed in de villawijk Duinbergen te Knokke-Heist, deel I, in opdracht van WITAB, mei-juni 1996.",Bergdreef 7 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58812,Erfgoedobject,Villa Le Pangolin,"Gebouwd in 1966-1968 naar ontwerp van architect André Jacqmain (° Anderlecht, 1921) in samenwerking met Paul Hof. Beschermd als monument bij ministerieel besluit van 16/01/2004.",Berkenlaan 11 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58814,Erfgoedobject,Villa Dennenhul-Klimop,"Villa zogenaamd ""Dennenhul-Klimop"" opgetrokken in 1910 naar ontwerp van architect G. Verenghen, als oorspronkelijk clubhouse van het tweede golfterrein dat in 1912-1914 wordt aangelegd ten zuiden van de Zoutelaan, naar plannen van de gekende Britse golfontwerper H.S. Colt. Beschermd als monument bij ministerieel besluit van 27/01/2004.",Binnenhof 9-13 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58815,Erfgoedobject,Villa My Hobby / Tigertee," Binnenhof nr. 12-14. Dubbele villa z.g. ""My Hobby / Tigertee"" in cottagestijl uit tweede kwart van de 20ste eeuw. Witgeschilderde baksteenbouw op zwarte plint. Diverse schouwen. Twee puntgevels met volhouten gevelvelden. Enkele originele bloembakken in kleiner gevelveld.",Binnenhof 12-14 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58816,Erfgoedobject,Villa  Le Perchoir,"    Binnenhof nr. 15. Villa z.g. ""Le Perchoir"" in landelijke stijl naar  ontwerp van architect M. Driesmans. Opgetrokken als notariswoning op  duinhelling; erg open door weinige beplanting. Toegankelijk via  slingerende trappartij. Witgeschilderde baksteenbouw op zwarte plint. Hoog  zadeldak met breed overkragende kroonlijst op consoles. Eerder robuust  door massieve vormen. Beeld in nis. Afgeron",Binnenhof 15 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58817,Erfgoedobject,Villa naar ontwerp van G. Taelemans, Binnenhof nr. 17. Villa in landelijke stijl naar ontwerp van architect G. Taelemans.  Gelegen op helling; erg weinig beplanting. Onbeschilderde baksteenbouw met gebruik van natuursteen (lijsten en posten). Veelvuldig gebruik van muurankers.  Beeld in nis. ,Binnenhof 17 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58818,Erfgoedobject,Villa Guthagoon,"    Binnenhof nr. 23 / Lammekenslaan. Villa z.g. ""Guthagoon"" in  hedendaagse stijl naar ontwerp van architect J.A. De Bondt (Gent).  Witgeschilderd afgerond bakstenen volume op bruin bakstenen sokkel.  Decoratief verticaal glas-in-loodvenster. Natuurstenen deuromlijsting  waarboven bas-reliëf. Bakstenen tuinmuur met buisleuning.   ",Binnenhof 23 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58813,Erfgoedobject,Villa's 't Binnenhuisje en Maitagania," Binnenhof nrs. 3-7. Vierwoonst bestaande uit twee gekoppelde dubbele villa's in z.g. landelijke stijl, z.g. ""'t Binnenhuisje"" (nr. 3-3 A) en ""Maitagania"" (nr. 5-7) uit de tweede helft van de 20ste eeuw naar ontwerp van architect M. Driesmans (Knokke). Pittoreske volumewerking door o.m. hoge zadeldaken, tuitgevels, dakkapellen, beeldnissen en muurankers.",Binnenhof 3-7 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58632,Erfgoedobject,Hotel in art deco,"     Blancgarinstraat nr. 5. Vermoedelijk voormalig hotel gebouwd in het  interbellum, in uitgesproken art-decostijl. Bakstenen, nu verkeerdelijk  witgeschilderde gevel met opvallende geajoureerde, betonnen balkons,  typische vijfzijdige muuropeningen gevat in dieperliggende muurvelden.  Bewaard houtwerk met roedeverdeling in de bovenlichten van de deurvensters  op de verdiepingen, schuiframen op",Blancgarinstraat 5 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58819,Erfgoedobject,Restaurant Ten Bos," Blinckaertlaan nr. 2/ Zoutelaan. Restaurant z.g. ""Ten Bos"", het voormalige wafelhuis van Oscar Delanghe, opgetrokken in 1912 naar ontwerp van J. Wassenhove (Knokke) op de hoogste hul van de Blinckaertduinen. Villa in landelijke stijl. Witgeschilderde en deels bepleisterde baksteenbouw. Veelvuldig gebruik van dakkapellen. Glas-in-lood met ruitmotief. ",Blinckaertlaan 2 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58821,Erfgoedobject,Molen Le Vieux Moulin of Oude Molen,Eertijds opgesteld in Knokke-Dorp op de kruising van de Koningslaan en het Pastoor Opdedrinckplein. Gebouwd circa 1855 en werkzaam tot circa 1902. Moest verdwijnen bij de aanleg van het eerste station van Knokke.,Boslaan 10 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58820,Erfgoedobject,Gedenksteen in arduin,"     Boslaan z.nr. Gedenksteen in arduin, cf. de officiële opening van  het gemeentelijk bos in juli 1976, cf. vermelding ""Dit bos werd Koningsbos  genoemd naar aanleiding van 25 jaar bewind van Koning Boudewijn"".   ",Boslaan zonder nummer (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58633,Erfgoedobject,Dorpswoningen," Boudewijnlaan nr. 17. Woonhuis van het eerste kwart van de 20ste eeuw. Eenvoudige verzorgde bakstenen gevel (later deels beschilderd) met getrapt dakvenster en achteruitwijkend inkomportaaltje. Behouden schrijnwerk. Nr. 13, dezelfde gevel, maar minder gaaf bewaard.","Boudewijnlaan 13, 17 (Knokke-Heist)"
https://id.erfgoed.net/erfgoedobjecten/58634,Erfgoedobject,Dorpswoning met geglazuurde baksteen,"     Boudewijnlaan nr. 20. Woonhuis van begin 20ste eeuw, lijstgevel  bekleed met witte en groene geglazuurde baksteen. Bewaard houtwerk en  gietijzeren balkon op verdieping.   ",Boudewijnlaan 20 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58635,Erfgoedobject,Interbellumhoekpand," Boudewijnlaan nrs. 22-24/ Piers de Raveschootlaan. Interbellumhoekpand met art-decogetinte vormgeving, cf. uitgewerkte hoekpartij met decoratieve fries, dambordpatronen, tweezijdige erkers. Houtwerk vervangen.",Boudewijnlaan 22 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58636,Erfgoedobject,Neoclassicistisch hoekpand,"     Boudewijnlaan nrs. 29-31. Piers de Raveschootlaan.  Neoclassicistisch hoekpand met gecementeerde lijstgevel voorzien van  schijnvoegen en waterlijsten, vermoedelijk vroeger met handels- of  herbergfunctie op begane grond. Vernieuwd houtwerk.   ",Boudewijnlaan 29 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58637,Erfgoedobject,Appartementsgebouw," Boudewijnlaan nr. 30. Klein appartementsgebouw voor vier appartementen, gebouwd in het interbellum. Twee deuren op gelijkvloers, één naar de traphall, de andere voor het gelijkvloerse appartement. Bakstenen gevel met gecementeerde erker en geveltop, gaaf bewaard houtwerk met fijne indeling van de bovenlichten. Nr. 37 van hetzelfde type, maar door de zware PVC-dakgoot aan de puntgevel in gaafheid",Boudewijnlaan 30 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58638,Erfgoedobject,Villa uit 1897,"     Boudewijnlaan nr. 66. Eclectische villa met neogotische kenmerken  gebouwd in 1897 voor kunstschilder F. Westendorf. Rode bakstenen villa met  omheind voortuintje, gekenmerkt door hoge trapgevel en aansluitende  aanbouw onder plat dak, met elkaar verbonden door overluifelde voordeur.  Sterk verbouwd: oorspronkelijk een bouwlaag minder en linker gedeelte  onder zadeldak (nok // straat), houte",Boudewijnlaan 64 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58639,Erfgoedobject,Neogotisch burgerhuis," Boudewijnlaan nr. 67. Neogotisch burgerhuis met voortuintje van begin 20ste eeuw, ooit de woning van Henri Depuydt, onderpastoor van de St.-Margarethaparochie van 1914-1934. Bakstenen gevel met arduinen speklagen voorzien van rijke ornamentiek: Brugse travee, houten kroonlijst op klossen, sierankers enz. Typisch neogotische afwerking: rechtse travee uitlopend op puntgevel met overhoekse pinakel ",Boudewijnlaan 67 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58607,Erfgoedobject,Dorpswoning," Bremlaan nr. 68. Woonhuis met puntgevel, cementering met toegevoegde veelkleurige glasblokjes. Rechthoekige muuropeningen met fraai, bewaard houtwerk. DESMIDT A., Straatnamen te Knokke-Heist, Knokke-Heist, 1990, s.p.",Bremlaan 68 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58822,Erfgoedobject,Villa Ushuaia,"     Britspad nr. 1. Villa z.g. ""Ushuaia"" in cottagestijl van 1931.  Bepleisterde baksteenbouw met gebruik van pseudo-vakwerk. Zwaar  overkragend zadeldak op decoratieve houten consoles. Verbouwde  inkom.   ",Britspad 1 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58825,Erfgoedobject,Villa Kathaway,"Britspad nr. 10/Poolspad nr. 2. Gekoppelde villa ""Kathaway"" van 1922 naar ontwerp van architect De Meester, later verschillende malen uitgebreid, thans verbouwd zijde Britspad. Zijde Poolspad pseudo-vakwerk waartussen bakstenen visgraatmotief.",Britspad 10 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58826,Erfgoedobject,Villa Sous tous vent-Duindistel,"Gekoppelde villa zogenaamd ""Sous tous vent-Duindistel"" gebouwd in 1926 naar ontwerp van de Gentse architect Valentin Vaerwijck op een duinhelling aan de zuidzijde van het Britspad. Opgetrokken in opdracht van fabrikant Lucien Seeuws (nummer 14) en de gekende kunstschilder Albert Saverys (1886-1964) (nummer 16). Beschermd als monument bij ministerieel besluit van 27/01/2004.",Britspad 14-16 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58827,Erfgoedobject,Villa Kinross," Britspad nr. 17. Villa z.g. ""Kinross"" in cottagestijl van 1911 naar ontwerp van architect G. Verenghen. Eenvoudige bepleisterde baksteenbouw op gecementeerde sokkel. Verzorgd pseudo-vakwerk. Gebogen uitsprong op benedenverdieping.  Geglazuurde tegels voor onderdorpels.  ARCHIEF COMPAGNIE HET ZOUTE KNOKKE-HEIST, Dossier 43.",Britspad 17 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58828,Erfgoedobject,Villa Sun Lit / Green Corner,"     Britspad nr. 18/ Zeemeeuwenpad nr. 9. Dubbele villa z.g. ""Sun Lit /  Green Corner"" in cottagestijl uit de eerste helft van de 20ste eeuw. Deels  geschilderde en bepleisterde baksteenbouw. Breed overkragende kroonlijsten  op houten consoles. Vakwerk in gevelvelden.   ",Britspad 18 (Knokke-Heist)
